Their first name is Alex their last name is Carterand the value is 58
Their first name is Brianna their last name is Mitchelland the value is 63
Their first name is Charles their last name is Bennettand the value is 69
Their first name is Danielle their last name is Owensand the value is 52
Their first name is Ethan their last name is Reynoldsand the value is 61
Their first name is Fiona their last name is Sandersand the value is 55
Their first name is Gabriel their last name is Hughesand the value is 67
Their first name is Hannah their last name is Lawsonand the value is 59
Their first name is Isaac their last name is Porterand the value is 64
Their first name is Jasmine their last name is Fletcherand the value is 57
Their first name is Kevin their last name is Wallaceand the value is 66
Their first name is Lily their last name is Davidsonand the value is 53
Their first name is Michael their last name is Brooksand the value is 70
Their first name is Natalie their last name is Simmonsand the value is 60
Their first name is Oliver their last name is Pattersonand the value is 62
Their first name is Penelope their last name is Harperand the value is 54
Their first name is Quentin their last name is Hayesand the value is 65
Their first name is Rachel their last name is Montgomeryand the value is 51
Their first name is Samuel their last name is Greeneand the value is 68
Their first name is Taylor their last name is Westand the value is 56
